Date,Count,Distance
11/20/16 0:00,9948,74593774
11/21/16 0:00,3714,32949980
11/22/16 0:00,3779,37826408
11/23/16 0:00,3917,38973730
11/24/16 0:00,3378,32007595
11/25/16 0:00,3321,28705150
11/26/16 0:00,5543,46441397
11/27/16 0:00,5339,50969502
11/28/16 0:00,3343,36629718
11/29/16 0:00,2867,28727788
11/30/16 0:00,3021,27925964
12/1/16 0:00,3738,33000015
12/2/16 0:00,6055,46756414
12/3/16 0:00,10453,74236236
12/4/16 0:00,10185,77553506
12/5/16 0:00,4079,34565248
12/6/16 0:00,4193,34089616
12/7/16 0:00,4564,37170693
12/8/16 0:00,4386,39748960
12/9/16 0:00,4704,41305078
12/10/16 0:00,9743,79975791
12/11/16 0:00,10808,91179282
12/12/16 0:00,3786,37086994
12/13/16 0:00,3449,31531857
12/14/16 0:00,4306,37728139
12/15/16 0:00,4633,40805554
12/16/16 0:00,6063,54824812
12/17/16 0:00,8789,73765737
12/18/16 0:00,8828,76867873
12/19/16 0:00,3538,34983733
12/20/16 0:00,3287,32511986
12/21/16 0:00,3586,35580868
12/22/16 0:00,3805,38852837
12/23/16 0:00,4192,42715564
12/24/16 0:00,3646,37075652
12/25/16 0:00,1597,16897367
12/26/16 0:00,1793,19947036
12/27/16 0:00,2645,30105014
12/28/16 0:00,2932,29294784
12/29/16 0:00,3724,36502265
12/30/16 0:00,5112,47324427
12/31/16 0:00,7211,59313128
1/1/17 0:00,14231,126839554
1/2/17 0:00,3814,38344557
1/3/17 0:00,2928,32543888
1/4/17 0:00,2869,30065117
1/5/17 0:00,3474,32672141
1/6/17 0:00,4911,42204051
1/7/17 0:00,7286,56216247
1/8/17 0:00,8777,68856232
1/9/17 0:00,4208,40040702
1/10/17 0:00,3971,35227008
1/11/17 0:00,4297,39753605
1/12/17 0:00,4322,41170030
1/13/17 0:00,5730,52062033
1/14/17 0:00,10340,82321777
1/15/17 0:00,9577,78573892
1/16/17 0:00,6311,57697658
1/17/17 0:00,4283,38984035
1/18/17 0:00,4536,36620294
1/19/17 0:00,4783,41921525
1/20/17 0:00,7235,67759576
1/21/17 0:00,11979,113522708
1/22/17 0:00,11927,105394527
1/23/17 0:00,4539,43864806
1/24/17 0:00,3807,34596586
1/25/17 0:00,4190,39173559
1/26/17 0:00,4789,44717091
1/27/17 0:00,7396,60223517
1/28/17 0:00,10730,82571119
1/29/17 0:00,12587,111138186
1/30/17 0:00,4397,42268591
1/31/17 0:00,3839,34748079
2/1/17 0:00,4383,38680396
2/2/17 0:00,5115,46278146
2/3/17 0:00,7631,60348564
2/4/17 0:00,11292,84537513
2/5/17 0:00,11840,95461363
2/6/17 0:00,5045,49962199
2/7/17 0:00,1535,13600339
